投诉编号,投诉品牌,投诉车系,投诉车型,问题简述,典型问题,典型问题2,典型问题4,典型问题6,典型问题8,典型问题10,投诉时间,投诉状态
487935,上汽大众,途观L,2017款 380TSI 四驱 旗舰版,上汽大众途观L变速箱异响严重希望处理,变速器,异响,,,,,2020/6/24,信息审核
487932,众泰汽车,众泰T700,2017款 1.8T 双离合 尊贵型,众泰T700离合器打滑 发动机报警 换挡顿挫,发动机,故障灯亮,变速器,顿挫,,,2020/6/24,信息审核
487930,吉利汽车,缤越,2019款 260T DCT 骑士 国VI,"吉利缤越减震器过软 车辆风噪大	",前后桥及悬挂系统,行驶中颠簸,车身附件及电器,车内异响,,,2020/6/24,信息审核
487929,吉利汽车,博越,2016款 1.8TD 自动 两驱 智联型,吉利博越变速箱异响顿挫希望处理,变速器,异响,变速器,顿挫,,,2020/6/24,信息审核
487926,广汽本田,缤智,2015款 1.5L CVT 两驱舒适型,广汽本田缤智停车怠速时车辆窜动明显,变速器,抖动,,,,,2020/6/24,厂家受理
487922,东风标致,标致408,2015款 1.2T 自动 豪华版,东风标致408正时皮带掉毛 发动机烧机油,发动机,烧机油,发动机,缸内有异物,,,2020/6/24,信息审核
487919,奇瑞新能源,奇瑞eQ1,2019款 小蚂蚁 智享版 4座 30.6kWh,奇瑞eQ1销售价格不透明商家克扣厂家补助,,服务收费,,,服务收费,价格不透明,2020/6/24,信息审核
487918,长安汽车,长安CS15,2016款 1.5L 手动 时尚版,长安CS15缺少随车工具希望尽快处理,,服务流程不完善,,,服务流程不完善,原车配套不全,2020/6/24,厂家受理
487917,吉利汽车,星越,2020款 350T 驭星者,吉利星越车机卡顿黑屏 雨刷器异响,车身附件及电器,车载互联故障,车身附件及电器,雨刮器故障,销售欺诈,与宣传不符,2020/6/24,信息审核
487916,东风标致,标致408,2014款 1.8L 自动 豪华版,东风标致408空调压缩机损坏无法制冷,车身附件及电器,空调问题,,,,,2020/6/24,信息审核
487911,上汽通用五菱,五菱宏光,2018款 1.2L S 基本型 经典款,上汽通用五菱宏光4S店售后态度极差,,服务态度,,,服务态度,态度蛮横,2020/6/24,信息审核
487909,东南汽车,东南DX3,2017款 1.5T 手动 尊贵型,"东南DX3正常行驶中发生自燃存在质量问题	",车身附件及电器,车辆自燃,,,,,2020/6/24,信息审核
487905,长安马自达,马自达3 昂克赛拉,2020款 1.5L 自动 质美版,"长安马自达昂克赛拉变速箱顿挫 发动机抖动	",发动机,抖动,变速器,顿挫,,,2020/6/24,信息审核
487904,跃进,C500,轻卡,跃进C500发动机不烧尿素变速箱故障,发动机,故障灯亮,发动机,无法启动,服务态度,不解决问题,2020/6/24,信息审核
487903,上汽集团,锐腾,2015款 1.5TGI TST 豪华版,上汽名爵锐腾维修人员操作失误致电瓶报废,,服务态度,,人员技术,服务态度,不解决问题,2020/6/24,厂家受理
487901,上汽斯柯达,速派,2016款 TSI280 DSG 创行版,斯柯达速派主驾驶侧车窗无法正常下降,车身附件及电器,车窗升降故障,,,,,2020/6/24,信息审核
487899,吉利汽车,博越,2020款 1.8TD DCT 智领PRO,吉利博越简配挡位及雾灯 希望厂家尽快解决,,销售欺诈,,,销售欺诈,与宣传不符,2020/6/24,信息审核
487897,吉利汽车,星越,2019款 300T 耀星者,吉利星越车机系统升级后仍然卡顿,,服务流程不完善,,,服务流程不完善,系统升级问题,2020/6/24,信息审核
